Mapping ID,Mapping String,Mapping Menu Name,Existing codes (Mapped),,,,,,,,,,,,,,,Add,,Delete,,,,,,,,,
1715,POL,POLITICAL SCIENCE,Home & Garden > Gardening/Plants/Shrubs/Trees,History and Politics >,Reference >,Reference > Political Science,Textbooks >,79,,,,,,,,,,Textbooks > Political Science,History and Politics > Political Science,Home & Garden > Gardening/Plants/Shrubs/Trees,Reference >,Reference > Political Science,79,,,,,,
1716,POPSCIE,POPULAR SCIENCE,Reference >,Reference > Popular Science,Textbooks >,Textbooks > Popular Science,Science & Technology >,Science & Technology > Popular science,,,,,,,,,,,,,,,,,,,,,
1717,PSY,PSYCHOLOGY,Medical Books >,Medical Books > Psychology,Reference >,Reference > Psychology,Textbooks >,Textbooks > Psychology,,,,,,,,,,,,Reference >,Reference > Psychology,,,,,,,,
1718,PSYCH,PSYCHIATRY / MENTAL DISORDERS,Medical Books > Psychiatry/Mental Disorders,Medical Books >,Reference >,Reference > Psychiatry/Mental Disorders,Textbooks >,Textbooks  > Psychiatry/Mental Disorders,,,,,,,,,,,,Reference >,Reference > Psychiatry/Mental Disorders,,,,,,,,
1719,PTHY,PHYSIOTHERAPY,Medical Books >,Medical Books > Physiotheraphy,Reference >,Reference > Physiotheraphy,Textbooks > Physiotheraphy,,,,,,,,,,,,,Reference >,Reference > Physiotheraphy,,,,,,,,
1720,QUEANS,QUESTION BANK / ANSWER / SYLLABUS H,Reference >,Textbooks > Question Bank/Syllabus,Entrance Exams Preparation >,Entrance Exams Preparation > Question Bank/Syllabus,,,,,,,,,,,,Textbooks >,,Reference >,,,,,,,,,
1721,QUO,QUOTATIONS / PROVERBS,Literature & Fiction > Quotation /Proverbs,Literature & Fiction >,Reference >,Reference > Quotation /Proverbs,Children and Teens >,Children and Teens > Quotation /Proverbs,Self-Help >,Self-Help > Quotation /Proverbs,,,,,,,,,,"Music, Films and Entertainment > Films",Literature & Fiction >,Reference >,Reference > Quotation /Proverbs,Children and Teens >,Children and Teens > Quotation /Proverbs,,,,
1722,RAD,RADIOLOGY / SCAN / ULTRASOUND,Medical Books >,Medical Books > Radiology /ultrasound,Science & Technology >,Science & Technology > Radiology /ultrasound,,,,,,,,,,,,,,,,,,,,,,,
1723,REF,REFERENCE,Reference >,Reference > Reference,,,,,,,,,,,,,,,,,,,,,,,,,
1724,REL,RELIGION / MYTHOLOGY,Reference >,Reference > Religion /Mythology,Religion & Spirituality >,Religion & Spirituality > Religion /Mythology,,,,,,,,,,,,,,Reference >,Reference > Religion /Mythology,,,,,,,,
1725,ROC,ROCK / MINERALS / STONES,Reference >,Reference > Rock/Mineral/Stones,Textbooks >,Textbooks > Rock/Mineral/Stones,Textbooks >,Textbooks > Radiology /ultrasound,,,,,,,,,,,,Reference >,Reference > Rock/Mineral/Stones,Textbooks > Radiology /ultrasound,,,,,,,
1779,S,SCHOOL,Children and Teens >,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,SELF,SELF HELP,Self-Help >,Self-Help > Self Help,,,,,,,,,,,,,,,,,,,,,,,,,
1727,SERI,SERICULTURE / SILK /,Reference >,Reference > Sericulture/Silk,Textbooks > Sericulture/Silk,Textbooks >,,,,,,,,,,,,,,Reference > Sericulture/Silk,Reference >,,,,,,,,
1728,SKIN,DERMATOLOGY / VD / STD / HIV,Medical Books >,Medical Books > Dermatology,Medical Books > Veneral Disease/STD/HIV,Reference >,Textbooks > Veneral Disease/STD/HIV,Reference >,Textbooks > Dermatology,Textbooks >,,,,,,,,,,Reference >,,,,,,,,,
1729,SOC,SOCIOLOGY,Literature & Fiction > Sociology,Literature & Fiction >,Reference >,Textbooks > Sociology,Textbooks >,,,,,,,,,,,,,Literature & Fiction > Sociology,Literature & Fiction >,Reference >,,,,,,,
1730,SPO,SPORTS / GAMES / MARTIAL / KARATE,Health and Fitness > Sports,Sports and Games >,Reference >,Reference > Sports/Games/Martial Arts,Crafts & Hobbies >,Crafts & Hobbies > Sports,Children and Teens >,Children and Teens > Sports,Sports and Games >,Sports and Games > Sports,Sports and Games > Games,Sports and Games > Martial Arts,,,,,,Reference >,Reference > Sports/Games/Martial Arts,,,,,,,,
1731,STA,STATISTICS,Textbooks > Statistics,Textbooks >,,,,,,,,,,,,,,,,,,,,,,,,,
1732,STR,STAR PLANETS UNIVERSE ASTRONOMY,Reference >,Reference > Star/Planets/Universe/Astronomy,Children and Teens >,Children and Teens > Star/Planets/Universe/Astronomy,Science & Technology >,Science & Technology > Star,Science & Technology > Planets,Science & Technology > Universe,Science & Technology > Astronomy,Religion & Spirituality >,Religion & Spirituality > Astronomy,Religion & Spirituality > Universe,Religion & Spirituality > Planets,Religion & Spirituality > Star,,,,Reference >,Reference > Star/Planets/Universe/Astronomy,Children and Teens >,Children and Teens > Star/Planets/Universe/Astronomy,Religion & Spirituality > Astronomy,Religion & Spirituality > Universe,Religion & Spirituality > Planets,Religion & Spirituality > Star,,
1733,SUR,SURGERY,Medical Books >,Medical Books > Surgery,Reference >,Textbooks > Surgery,Textbooks >,,,,,,,,,,,,,Reference >,,,,,,,,,
1735,TEC,TECHNOLOGY,Reference >,Reference > Technology,Computers & Internet > Technology,Computers & Internet >,Science & Technology >,Science & Technology > Technology,,,,,,,,,,,,Reference >,Reference > Technology,,,,,,,,
1736,TEX,TEXTILE / CLOTH,Science & Technology >,Science & Technology > Textile Science,,,,,,,,,,,,,,,,,,,,,,,,,
1737,TOU,TOURISM / HOTEL MANAGEMENT,Reference >,Reference > Tourism/Hotel Management,Travel >,Travel > Tourism/Hotel Management,,,,,,,,,,,,,,Reference >,Reference > Tourism/Hotel Management,,,,,,,,
1738,VAS,VASTU / FENG SHUI,Reference >,Reference > Vastu/Fengshui,Religion & Spirituality > Vastu/Fengshui,Religion & Spirituality >,,,,,,,,,,,,,,Reference >,Reference > Vastu/Fengshui,,,,,,,,
1739,VET,VETERNARY,Medical Books >,Medical Books > Veterniary,Textbooks > Veterinary,Textbooks >,,,,,,,,,,,,,,,,,,,,,,,
1781,M,Medical SCIENCES,Medical Books >,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,YOGA,YOGA,Health and Fitness > YOGA,Health and Fitness >,Medical Books >,Medical Books > YOGA,Women >,Women > YOGA,Self-Help >,Self-Help > YOGA,,,,,,,,,,Medical Books >,Medical Books > YOGA,Self-Help >,Self-Help > YOGA,,,,,,
