KA 51 C 3511,Tata Bus,Infosys,
KA 51 C 3512,Tata Bus,Infosys,
KA 51 C 3513,Tata Bus,Infosys,
KA 42 A 3989,Mazda,RBBD,69
KA 42 A 3990,Mazda,RBBD,67
KA 42 A 3991,Mazda,RBBD,70
KA 42 A 3992,Mazda,RBBD,72
KA 42 A 3993,Mazda,RBBD,73
KA 42 A 3994,Mazda,RBBD,
KA 42 A 3995,Mazda,RBBD,68
KA 42 A 3996,Mazda,RBBD,
KA 42 A 3997,Mazda,RBBD,71
KA 42 A 3998,Mazda,RBBD,
KA 42 A 3999,Mazda,RBBD,54
KA 42 A 4137,Mazda,TKM,
KA 42 A 4138,TATA MINI,TKM,
KA 42 A 4139,TATA MINI,TKM,
KA 51 C 4232,TATA MINI,A/C N P,
KA 51 C 4261,ALL Bus,Infosys,
KA 51 C 4262,ALL Bus,Infosys,
KA 51 C 4263,ALL Bus,Infosys,
KA 51 C 4264,ALL Bus,Infosys,
KA 51 C 4265,ALL Bus,Infosys,
KA 05 AE 9736,T T,Syniverse,
KA 05 AE 9737,T T,Syniverse,
KA 05 AE 9738,T T,Syniverse,
KA 05 AE 9739,T T,Syniverse,
KA 05 AE 9740,T T,Syniverse,
KA 05 AE 9741,T T,Syniverse,
KA 05 AE 9742,T T,Syniverse,
KA 05 AE 9743,T T,Syniverse,
KA 05 AE 9744,T T,Syniverse,
KA 05 AE 9745,T T,Syniverse,
KA 05 AE 9746,T T,Syniverse,
KA 05 AE 9748,T T,Syniverse,
KA 05 AE 9749,T T,Syniverse,
